#nb particules : 7680 mpi_share
#nb iterations : 100
1 565.41 1
2 284.23 1.99
4 146.59 3.86
6 98.36 5.75
8 74.37 7.60
10 59.53 9.50
12 50.04 11.30
24 27.68 20.43
32 21.07 26.84
36 19.38 29.17
48 15.28 37.00
60 12.75 44.35
72 11.09 50.99
84 10.10 55.99
96 9.55 59.21








